date,reference_source,symbol,open,high,low,close,range_pips,close_change_pips,abs_close_change_pips,body_size_pips,body_pct_of_range,candle_direction,break_previous_high,break_previous_low,week_high_so_far,week_low_so_far,previous_week_high,previous_week_low,range_ytd_rank,abs_close_move_ytd_rank,ytd_observation_count,is_event_date,is_prior_20_window,prior_20_observation_count,prior_20_avg_range_pips,prior_20_median_range_pips,prior_20_max_range_pips,range_vs_prior_20_avg,range_vs_prior_20_median,range_vs_prior_20_max
2026-04-28,FXCM,USDJPY,159.41,159.78699999999998,158.958,159.611,82.89999999999793,20.09999999999934,20.09999999999934,20.09999999999934,0.24246079613992572,UP,True,True,159.78699999999998,158.958,159.84699999999998,158.551,71,100,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-29,FXCM,USDJPY,159.611,160.47299999999998,159.48999999999998,160.435,98.30000000000041,82.40000000000123,82.40000000000123,82.40000000000123,0.8382502543235085,UP,True,False,160.47299999999998,158.958,159.84699999999998,158.551,53,26,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-30,FXCM,USDJPY,160.435,160.724,155.535,156.59199999999998,518.8999999999993,-384.3000000000018,384.3000000000018,384.3000000000018,0.7406051262285649,DOWN,True,True,160.724,155.535,159.84699999999998,158.551,2,2,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-01,FXCM,USDJPY,156.59199999999998,157.328,155.489,157.017,183.89999999999986,42.50000000000114,42.50000000000114,42.50000000000114,0.2311038607939161,UP,False,True,160.724,155.489,159.84699999999998,158.551,16,60,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-04,FXCM,USDJPY,156.75199999999998,157.304,155.68699999999998,157.218,161.70000000000186,20.09999999999934,20.09999999999934,46.60000000000082,0.2881880024737185,UP,False,False,157.304,155.68699999999998,160.724,155.489,22,100,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-05,FXCM,USDJPY,157.218,157.92,157.076,157.872,84.39999999999941,65.40000000000248,65.40000000000248,65.40000000000248,0.7748815165877125,UP,True,False,157.92,155.68699999999998,160.724,155.489,69,38,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-06,FXCM,USDJPY,157.872,157.935,155.025,156.329,290.99999999999966,-154.30000000000064,154.30000000000064,154.30000000000064,0.5302405498281815,DOWN,True,True,157.935,155.025,160.724,155.489,4,8,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-07,FXCM,USDJPY,156.329,156.955,156.023,156.874,93.20000000000164,54.49999999999875,54.49999999999875,54.49999999999875,0.5847639484978304,UP,False,False,157.935,155.025,160.724,155.489,57,46,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-08,FXCM,USDJPY,156.874,156.989,156.432,156.648,55.70000000000164,-22.59999999999991,22.59999999999991,22.59999999999991,0.4057450628366112,DOWN,True,False,157.935,155.025,160.724,155.489,109,91,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-11,FXCM,USDJPY,156.521,157.273,156.521,157.137,75.20000000000095,48.90000000000043,48.90000000000043,61.60000000000139,0.8191489361702208,UP,True,False,157.273,156.521,157.935,155.025,80,53,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-12,FXCM,USDJPY,157.137,157.765,156.714,157.616,105.09999999999877,47.90000000000134,47.90000000000134,47.90000000000134,0.45575642245482306,UP,True,False,157.765,156.521,157.935,155.025,47,54,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-13,FXCM,USDJPY,157.616,157.926,157.539,157.848,38.700000000000045,23.199999999999932,23.199999999999932,23.199999999999932,0.5994832041343645,UP,True,False,157.926,156.521,157.935,155.025,140,88,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-14,FXCM,USDJPY,157.848,158.422,157.286,158.362,113.59999999999957,51.39999999999816,51.39999999999816,51.39999999999816,0.4524647887323799,UP,True,True,158.422,156.521,157.935,155.025,41,50,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-15,FXCM,USDJPY,158.362,158.843,158.257,158.718,58.59999999999843,35.599999999999454,35.599999999999454,35.599999999999454,0.6075085324232151,UP,True,False,158.843,156.521,157.935,155.025,101,67,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-18,FXCM,USDJPY,158.718,159.081,158.612,158.786,46.89999999999941,6.800000000001205,6.800000000001205,6.800000000001205,0.1449893390192173,UP,True,False,159.081,158.612,158.843,156.521,129,134,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-19,FXCM,USDJPY,158.786,159.251,158.643,159.076,60.80000000000041,28.999999999999204,28.999999999999204,28.999999999999204,0.47697368421051,UP,True,False,159.251,158.612,158.843,156.521,100,76,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-20,FXCM,USDJPY,159.076,159.169,158.587,158.904,58.200000000002206,-17.199999999999704,17.199999999999704,17.199999999999704,0.2955326460480937,DOWN,False,True,159.251,158.587,158.843,156.521,102,108,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-21,FXCM,USDJPY,158.904,159.343,158.8,158.926,54.299999999997794,2.199999999999136,2.199999999999136,2.199999999999136,0.04051565377530802,UP,True,False,159.343,158.587,158.843,156.521,113,143,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-22,FXCM,USDJPY,158.926,159.23399999999998,158.87099999999998,159.176,36.299999999999955,25.0,25.0,25.0,0.6887052341597805,UP,False,False,159.343,158.587,158.843,156.521,142,83,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-25,FXCM,USDJPY,158.74599999999998,159.041,158.74599999999998,158.878,29.50000000000159,-29.800000000000182,29.800000000000182,13.2000000000005,0.4474576271186369,UP,False,True,159.041,158.74599999999998,159.343,158.587,147,75,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-26,FXCM,USDJPY,158.878,159.381,158.809,159.291,57.20000000000027,41.30000000000109,41.30000000000109,41.30000000000109,0.7220279720279876,UP,True,False,159.381,158.74599999999998,159.343,158.587,104,61,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-27,FXCM,USDJPY,159.291,159.57899999999998,159.176,159.498,40.29999999999916,20.699999999999363,20.699999999999363,20.699999999999363,0.5136476426798957,UP,True,False,159.57899999999998,158.74599999999998,159.343,158.587,134,98,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-28,FXCM,USDJPY,159.498,159.652,159.11,159.23,54.19999999999732,-26.800000000000068,26.800000000000068,26.800000000000068,0.4944649446494722,DOWN,True,True,159.652,158.74599999999998,159.343,158.587,115,77,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-05-29,FXCM,USDJPY,159.23,159.376,159.095,159.23,28.10000000000059,0.0,0.0,0.0,0.0,FLAT,False,True,159.652,158.74599999999998,159.343,158.587,149,150,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-06-01,FXCM,USDJPY,159.356,159.767,159.29399999999998,159.658,47.30000000000132,42.79999999999973,42.79999999999973,30.19999999999925,0.6384778012684653,UP,True,False,159.767,159.29399999999998,159.652,158.74599999999998,126,59,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-06-02,FXCM,USDJPY,159.658,159.988,159.569,159.908,41.900000000001114,25.0,25.0,25.0,0.596658711217168,UP,True,False,159.988,159.29399999999998,159.652,158.74599999999998,133,83,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
